,Log
0,0.04885578155517578
1,0.039684563875198364
2,0.034641424814860024
3,0.03562501072883606
4,0.03092029094696045
5,0.03695714473724365
6,0.04109297479901995
7,0.03921332210302353
8,0.04490002658632067
9,0.04328577518463135
10,0.04703466458754106
11,0.045600712299346924
12,0.04506459602942833
13,0.04458988990102495
14,0.045264542102813714
15,0.047584917396306985
16,0.04724543936112347
17,0.045209967427783534
18,0.0469875743514613
19,0.04674156606197356
20,0.05354159786587669
21,0.05276807329871437
22,0.055128338544265076
23,0.05345862607161203
24,0.054154138565063466
25,0.055356871623259314
26,0.0557009908888075
27,0.056547445910317545
28,0.05754546255900941
29,0.05795162518819172
30,0.05660298947365052
31,0.05570317059755324
32,0.05467379635030572
33,0.05334958960028255
34,0.05213946785245622
35,0.05140484372774759
36,0.051478832154660606
37,0.05195717121425427
38,0.050957653767023325
39,0.05113229304552078
40,0.05092150118292831
41,0.05037396578561691
42,0.05004535303559413
43,0.04929924417625773
44,0.04887093835406832
45,0.04907676966293997
46,0.04887909965312226
47,0.048488557338714586
48,0.04795437564655225
49,0.04739347100257872
50,0.048634419254228164
51,0.048412643946134114
52,0.04967863042399567
53,0.04892647156008967
54,0.04858458800749344
55,0.048974647053650434
56,0.04938442769803498
57,0.04929518802412624
58,0.04905911320346896
59,0.051641737421353646
60,0.05185287604566479
61,0.0512826875332863
62,0.05068750324703397
63,0.050781080499291406
64,0.05047923601590669
65,0.0500612791740533
66,0.049813548130775556
67,0.049287638243506925
68,0.048759837945302316
69,0.04877162149974277
