,Log
0,"{'dice_loss': 0.2968937831265587, 'iou_score': 0.5616316784705436}"
1,"{'dice_loss': 0.29725051096507477, 'iou_score': 0.5546142580253738}"
2,"{'dice_loss': 0.26909127235412594, 'iou_score': 0.5879217797092028}"
3,"{'dice_loss': 0.29601631675447737, 'iou_score': 0.5584008212600433}"
4,"{'dice_loss': 0.23715157508850096, 'iou_score': 0.6389667442866734}"
5,"{'dice_loss': 0.09293180704116821, 'iou_score': 0.8415369255202159}"
6,"{'dice_loss': 0.07925312774521964, 'iou_score': 0.8626995759350915}"
7,"{'dice_loss': 0.06924509831837249, 'iou_score': 0.8798177821295604}"
8,"{'dice_loss': 0.05564450366156442, 'iou_score': 0.901712782893862}"
9,"{'dice_loss': 0.0542532307761056, 'iou_score': 0.9039881433759419}"
10,"{'dice_loss': 0.052749262537275035, 'iou_score': 0.9051822304725647}"
11,"{'dice_loss': 0.04877162149974277, 'iou_score': 0.912044850417546}"
12,"{'dice_loss': 0.04770543915884835, 'iou_score': 0.9137141363961355}"
13,"{'dice_loss': 0.04139337454523359, 'iou_score': 0.9243438610008785}"
14,"{'dice_loss': 0.03825382505144392, 'iou_score': 0.9297136536666324}"
15,"{'dice_loss': 0.04361356837408885, 'iou_score': 0.9209548771381378}"
16,"{'dice_loss': 0.04758763228143964, 'iou_score': 0.9154481632368906}"
17,"{'dice_loss': 0.04234215532030378, 'iou_score': 0.9232683045523508}"
18,"{'dice_loss': 0.03853126083101545, 'iou_score': 0.9298075079917908}"
19,"{'dice_loss': 0.03863860879625594, 'iou_score': 0.9297112796987805}"
